Diameter (mm),Section Area (mm2),Breaking Load (kN),Limit Tension (kN)
25.0 ,440.0 ,596.0 ,397.0 
30.0 ,648.0 ,858.0 ,572.0 
35.0 ,842.0 ,1170.0 ,780.0 
40.0 ,1125.0 ,1580.0 ,1053.0 
45.0 ,1382.0 ,2000.0 ,1333.0 
50.0 ,1731.0 ,2470.0 ,1647.0 
55.0 ,2106.0 ,3020.0 ,2013.0 
60.0 ,2424.0 ,3590.0 ,2393.0 
65.0 ,2929.0 ,4220.0 ,2813.0 
70.0 ,3444.0 ,4890.0 ,3260.0 
75.0 ,3791.0 ,5620.0 ,3747.0 
80.0 ,4379.0 ,6390.0 ,4260.0 
85.0 ,4952.0 ,7210.0 ,4807.0 
90.0 ,5568.0 ,8090.0 ,5393.0 
95.0 ,6095.0 ,9110.0 ,6073.0 
100.0 ,6804.0 ,10100.0 ,6733.0 
105.0 ,7567.0 ,11100.0 ,7400.0 
110.0 ,8341.0 ,12200.0 ,8133.0 
115.0 ,9149.0 ,13400.0 ,8933.0 
120.0 ,9729.0 ,14500.0 ,9667.0 
125.0 ,10636.0 ,15800.0 ,10533.0 
130.0 ,11385.0 ,16200.0 ,10800.0 
135.0 ,12368.0 ,17400.0 ,11600.0 
